,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,label
6583,0,0,0,0,0,0,0,1,0,0,0
6584,0,0,0,1,0,0,0,0,0,0,0
6585,1,0,0,0,0,0,0,0,0,0,0
6586,1,1,0,0,0,1,0,0,0,0,0
6587,0,0,1,0,0,0,0,0,0,0,0
6589,0,0,0,0,0,0,0,0,0,0,1
6590,0,0,0,1,0,0,0,0,0,0,0
6591,1,1,0,0,1,0,1,0,0,0,0
6594,1,0,0,0,0,0,0,0,1,0,1
6596,0,0,0,1,0,0,0,0,0,0,0
6597,0,0,0,0,0,0,1,1,0,1,0
6598,0,1,1,0,0,0,0,0,0,0,0
6600,0,0,1,0,0,0,1,0,0,0,0
6601,1,0,0,0,1,0,0,0,0,0,0
6602,1,1,0,0,1,0,0,0,0,0,0
6603,0,0,0,0,0,0,0,0,0,0,0
6604,0,0,0,0,0,0,0,0,0,0,0
6605,1,0,1,1,1,0,0,0,0,0,0
6606,0,0,0,0,0,0,1,1,0,0,0
6607,1,1,0,0,1,0,1,1,0,1,1
6609,0,0,1,0,0,0,0,0,0,0,0
6611,0,0,0,0,0,0,1,1,0,0,0
6613,0,0,0,0,0,0,1,0,0,0,0
6614,0,1,0,1,0,0,0,0,0,0,0
6615,0,0,0,0,1,0,0,0,0,0,0
6616,0,0,0,0,0,0,0,0,0,0,0
6617,0,0,0,0,1,0,0,0,0,0,0
6619,0,0,0,1,1,0,1,0,0,1,0
6620,0,0,0,0,1,0,1,0,0,0,0
6621,1,1,1,1,1,0,0,0,0,0,1
6622,1,0,0,0,0,1,0,0,0,0,0
6623,0,1,0,1,0,0,0,0,0,0,0
6624,1,0,0,0,0,0,1,1,0,0,0
6625,0,0,0,0,0,0,0,1,0,0,1
6626,0,0,0,0,0,0,1,0,0,0,0
6627,1,0,0,0,0,0,0,0,0,1,0
6628,0,1,1,0,0,0,0,0,0,0,0
6630,0,0,0,0,0,0,1,0,0,0,0
6631,1,1,0,1,1,0,1,1,0,0,0
6632,1,0,0,0,0,0,1,0,0,1,0
6633,0,0,1,0,0,0,0,0,0,0,0
6634,0,1,0,0,1,0,0,0,0,0,0
6635,1,0,0,0,1,0,0,0,0,0,0
6637,0,0,0,0,0,0,1,0,0,0,0
6638,1,0,0,0,1,0,1,0,0,0,0
6640,0,0,0,0,0,1,0,0,0,0,0
6642,1,0,1,0,0,0,0,0,0,0,0
6644,0,0,0,0,0,0,1,0,0,0,0
6645,0,0,0,0,0,0,0,0,0,0,0
6646,0,0,0,0,0,0,0,0,0,0,0
6648,0,0,0,0,0,1,1,0,1,1,0
6649,1,0,0,0,0,0,0,0,0,0,0
6650,0,0,0,0,0,0,0,1,0,0,0
6651,0,0,0,0,0,0,0,1,0,0,0
6653,0,0,1,0,0,0,0,0,0,0,0
6654,1,0,0,0,1,0,0,0,0,0,0
6655,0,0,0,1,0,0,0,0,0,0,0
6656,1,0,0,0,0,0,0,0,0,1,1
6657,1,1,0,1,1,0,1,1,0,1,0
6658,1,0,0,0,0,0,0,0,0,0,0
6659,0,0,0,0,0,0,1,0,0,0,0
6660,0,0,0,0,0,0,0,1,0,0,1
6661,0,0,0,0,0,0,1,0,0,0,0
6662,0,0,1,0,0,0,1,1,0,0,0
6663,0,0,0,0,1,0,0,0,0,0,0
6664,0,0,1,0,0,0,0,0,0,0,1
6666,1,1,0,1,1,0,1,0,1,0,0
6669,0,0,0,0,0,0,0,0,0,1,1
6670,0,1,0,0,0,0,0,0,0,0,0
6672,1,0,0,0,0,0,0,0,0,0,0
6674,0,0,0,0,0,0,0,0,0,0,0
6675,1,0,0,0,0,0,0,0,0,0,0
6676,0,0,0,0,0,0,0,0,0,0,0
6677,0,0,0,0,1,0,0,0,1,1,0
6678,1,0,1,0,0,0,0,0,0,0,1
6679,0,1,0,0,0,0,0,0,1,1,0
6682,0,0,0,0,1,1,1,1,0,1,1
6683,0,0,1,0,0,0,0,0,0,0,0
6684,0,0,0,0,0,0,1,1,0,0,0
6685,1,1,0,1,1,0,0,1,0,0,0
6686,1,0,1,0,1,0,1,0,0,0,0
6688,0,0,1,1,0,0,0,0,0,0,0
6689,0,0,0,0,0,0,0,0,0,0,1
6691,1,0,0,0,1,0,1,1,0,0,0
6693,0,0,0,0,0,0,0,1,0,0,0
6696,0,0,1,0,0,0,0,0,0,0,1
6697,0,0,0,0,0,1,0,0,0,0,0
6700,1,0,1,0,0,1,0,0,1,0,1
6703,0,0,0,0,0,0,0,0,0,0,0
6704,0,1,0,0,1,0,1,1,0,0,0
6705,1,1,1,1,0,1,0,0,0,0,0
6707,0,0,0,0,0,1,0,0,0,0,0
6708,1,0,0,0,0,0,0,0,0,0,0
6709,0,0,0,0,0,0,0,0,1,1,0
6710,1,0,0,0,1,0,0,1,1,0,0
6711,1,0,1,0,0,0,1,0,0,0,0
6713,0,0,0,0,0,0,0,1,0,0,0
6714,1,0,1,0,0,0,0,0,0,1,1
6715,1,1,1,0,1,1,1,1,0,0,0
6716,0,1,0,0,0,0,0,0,0,0,0
6717,1,1,0,0,1,0,0,0,0,0,0
6718,1,0,0,0,0,1,1,1,0,1,0
6719,0,0,0,1,0,0,1,0,0,0,0
6720,0,0,0,0,0,0,1,0,0,0,0
6722,1,1,0,0,0,0,0,0,0,0,0
6723,0,0,0,1,0,0,0,0,0,0,0
6724,1,0,0,0,1,0,0,0,0,1,1
6725,0,0,1,0,0,0,0,1,0,0,1
6728,0,0,0,0,0,0,0,1,0,0,0
6729,0,0,0,0,0,0,0,1,0,0,0
6730,1,1,1,1,1,0,0,0,1,0,0
6733,1,0,0,0,0,0,0,0,0,0,0
6734,1,1,1,0,0,0,0,0,0,0,0
6735,1,0,1,0,0,0,0,1,0,0,0
6736,1,0,0,0,0,0,0,0,0,0,0
6737,0,1,1,0,0,0,0,0,0,0,0
6738,1,1,0,0,1,0,0,0,0,1,0
6743,1,0,0,1,1,0,1,0,0,0,0
6744,1,1,1,0,0,0,0,0,0,1,0
6745,0,1,1,0,0,0,1,1,0,1,1
6746,0,0,0,0,0,0,0,0,0,0,0
6748,1,1,0,0,1,0,0,0,0,0,0
6749,1,0,0,0,1,0,0,1,0,0,0
6750,1,0,0,0,1,1,1,1,0,1,0
6751,0,0,0,1,0,0,1,1,0,0,0
6752,0,0,1,0,0,0,0,0,0,0,0
6754,0,0,1,0,0,0,0,0,0,1,1
6757,0,0,0,0,0,0,1,0,0,0,0
6758,1,0,0,0,0,0,0,0,0,0,0
6760,0,0,0,0,1,1,0,0,1,1,1
6761,1,1,0,0,1,1,1,1,0,0,1
6762,0,0,0,0,0,0,0,0,0,0,0
6763,0,0,1,0,0,0,0,0,0,0,0
6764,0,0,1,0,0,0,0,1,0,0,0
6765,0,0,1,0,0,0,0,0,0,0,0
6766,0,1,0,0,0,1,0,0,0,0,0
6767,1,0,0,0,1,0,0,0,0,0,0
6768,0,1,0,1,1,0,0,0,0,0,0
6769,0,0,0,0,0,1,1,1,1,0,0
6770,1,0,0,0,0,1,1,1,0,0,0
6772,1,0,0,0,0,0,0,0,0,0,0
6774,1,0,1,0,1,1,1,0,0,1,1
6775,1,1,1,0,1,0,0,0,0,1,0
6776,1,1,0,0,1,0,1,1,0,1,0
6777,1,0,0,0,0,0,0,0,0,0,0
6778,1,0,0,0,0,0,0,0,0,0,0
6779,0,0,0,1,0,0,0,0,0,0,0
6780,0,1,0,0,0,0,0,0,0,0,0
6781,0,1,0,0,0,0,0,0,0,0,0
6782,1,0,1,0,0,0,0,1,0,0,1
6783,0,0,0,0,1,0,0,0,0,0,0
6784,0,0,0,0,0,0,1,0,0,0,0
6785,0,0,0,0,1,1,1,1,0,0,0
6787,0,0,1,0,1,0,1,1,0,0,0
6789,0,0,0,0,0,0,1,1,0,0,0
6790,1,0,0,0,0,1,1,1,0,0,0
6792,0,0,0,0,0,0,0,0,0,0,0
6793,0,0,0,0,1,0,0,0,0,0,0
6794,0,0,0,0,0,0,1,1,0,0,0
6796,0,0,0,1,0,0,0,0,0,0,0
6797,0,1,0,1,0,0,0,0,0,0,0
6800,0,0,1,0,0,0,0,0,0,0,0
6801,0,0,0,0,0,0,0,0,0,0,0
6802,0,0,0,0,1,0,0,0,0,0,0
6805,0,0,0,0,0,0,0,0,0,0,0
6807,1,1,0,0,0,0,0,0,0,0,0
6810,0,0,0,0,1,0,0,0,0,0,0
6811,1,0,0,0,0,1,0,0,0,0,0
6813,0,0,0,0,0,0,0,1,0,0,0
6814,0,0,0,0,0,0,0,1,0,0,0
6817,0,0,0,0,0,0,0,0,0,0,1
6818,1,0,0,0,0,0,0,0,0,0,0
6819,0,0,0,1,0,0,0,0,0,0,0
6822,1,0,0,0,0,0,0,0,0,0,0
6823,1,1,0,0,0,1,0,0,0,0,0
6824,0,0,1,0,0,0,0,0,0,0,0
6825,0,0,0,0,0,0,1,1,0,0,0
6828,0,1,1,0,0,0,0,0,0,0,0
6829,1,0,0,1,0,0,0,0,0,0,0
6830,0,0,0,0,0,0,0,0,0,0,1
6831,1,0,1,0,0,0,0,1,0,0,0
6832,0,0,0,1,0,0,0,0,0,0,0
6833,0,1,1,0,1,0,1,1,0,0,0
6834,1,1,1,0,1,1,0,0,1,1,1
6835,1,1,0,0,0,0,1,1,0,0,0
6836,0,0,1,0,1,0,0,0,0,0,0
6837,0,1,1,0,0,0,0,0,0,1,0
6838,1,1,1,0,0,0,0,0,0,0,0
6839,1,0,1,0,0,0,1,0,1,0,0
6840,0,0,1,0,0,1,0,0,0,0,0
6842,1,1,0,0,1,0,0,0,0,0,0
6843,0,0,1,0,0,0,0,0,0,0,0
6844,0,0,0,0,0,0,0,0,0,1,1
6845,1,0,0,0,0,0,0,0,0,0,0
6847,1,1,0,0,1,0,0,0,0,0,0
6848,0,0,1,0,0,0,0,0,0,0,1
6853,0,1,1,0,0,0,0,0,0,0,0
6855,0,0,0,0,0,0,1,1,0,0,0
6856,0,0,1,1,0,0,0,0,0,0,0
6858,0,0,1,0,0,0,0,0,0,1,0
6859,0,0,0,0,0,0,0,0,1,0,1
6860,0,0,0,0,0,0,1,0,0,0,0
6861,1,0,1,0,0,0,0,0,0,0,0
6863,0,1,0,0,0,0,0,0,0,0,0
6864,1,0,0,0,0,0,1,1,0,0,0
6867,0,0,0,0,0,0,0,0,0,1,0
6868,0,0,0,0,1,0,0,0,1,0,0
6869,0,0,0,0,1,0,1,1,0,0,0
6870,0,0,0,0,0,0,1,0,0,0,0
6872,0,0,0,1,0,0,0,0,0,0,0
6873,0,0,0,0,0,0,0,1,0,0,0
6875,1,0,0,1,1,0,0,1,0,0,0
6876,0,0,0,0,0,0,1,0,0,0,0
6878,0,0,0,0,0,0,1,1,0,0,0
6880,0,0,0,0,0,0,0,1,0,0,0
6881,1,1,0,0,1,0,1,1,0,0,0
6882,1,1,0,0,0,0,0,0,0,0,0
6883,0,0,0,0,0,0,0,0,1,0,1
6885,1,0,0,1,0,0,0,0,0,0,1
6886,0,1,1,0,0,0,1,0,0,0,1
6887,0,0,0,0,0,0,1,1,0,0,0
6888,0,1,0,0,1,0,0,0,0,0,1
6889,1,1,1,0,1,0,1,0,0,1,1
6890,0,0,0,0,1,1,1,0,0,0,0
6891,1,1,1,0,0,0,0,0,0,0,0
6892,1,1,0,0,1,0,0,0,0,0,0
6894,0,0,0,0,0,0,1,1,0,0,0
6895,1,1,0,0,1,0,0,0,0,0,0
6897,0,0,0,0,1,0,0,0,0,0,0
6898,1,0,0,0,1,1,0,0,0,0,0
6899,0,1,0,0,0,0,0,0,0,0,0
6901,1,1,1,0,0,1,0,0,1,1,1
6902,1,1,0,0,0,0,0,0,0,1,1
6905,0,1,0,0,1,0,0,0,0,0,0
6906,0,0,1,0,0,0,0,0,0,0,0
6907,1,1,0,0,0,0,0,1,0,0,0
6908,0,1,1,0,1,0,0,0,0,0,0
6909,0,0,1,0,0,0,0,0,0,0,0
6910,0,0,0,0,0,0,0,1,0,0,0
6912,1,0,1,0,1,0,0,0,0,0,0
6913,0,0,1,0,0,0,0,0,0,0,0
6915,1,1,0,1,1,0,0,0,1,1,0
6916,1,1,0,1,1,1,1,0,1,0,0
6917,1,1,1,0,0,0,0,0,0,1,1
6918,1,0,0,0,0,0,0,0,0,0,0
6921,0,1,1,0,1,0,1,0,1,1,1
6923,0,0,1,0,1,0,0,1,0,1,0
6924,0,0,0,0,0,0,1,1,0,0,0
6925,0,0,0,0,1,1,0,0,0,0,0
6926,1,0,0,0,0,0,0,0,0,0,0
6927,1,0,0,0,0,0,0,0,0,0,0
6928,0,0,0,0,0,0,0,1,0,0,1
6929,1,0,0,0,0,1,0,0,1,1,0
6930,0,1,1,0,1,0,0,0,0,0,0
6931,1,0,1,0,1,0,0,0,0,0,0
6932,0,0,0,0,1,0,0,1,0,0,0
6933,0,0,0,0,0,0,0,0,0,0,1
6934,1,0,1,0,0,0,0,0,1,1,1
6935,1,0,0,0,0,0,1,0,0,0,0
6936,0,0,1,0,1,0,0,0,0,1,1
6940,1,1,0,1,1,0,1,1,0,1,1
6942,0,0,0,0,0,0,1,0,0,0,0
6944,0,0,0,0,0,0,1,1,0,0,0
6945,0,1,0,0,0,0,0,0,0,0,0
6946,0,0,0,0,0,0,0,0,0,0,0
6947,0,0,0,0,0,0,0,1,0,0,0
6948,1,0,0,0,0,0,0,0,0,0,0
6949,1,0,1,0,0,0,0,0,0,0,0
6950,1,0,0,0,0,0,0,0,0,0,0
6953,0,0,0,0,1,0,0,0,0,1,0
6956,0,0,1,0,0,0,0,0,0,0,0
6958,1,1,0,0,1,0,0,1,0,0,0
6959,1,0,0,0,0,1,0,0,0,0,0
6960,0,0,0,0,0,0,1,1,0,0,0
6961,1,0,0,0,0,0,0,0,0,1,0
6962,1,1,1,0,0,0,0,0,0,0,0
6964,0,0,0,0,0,0,0,1,0,0,0
6966,0,0,1,0,0,0,0,0,0,0,0
6967,1,1,1,0,0,0,0,0,0,0,0
6968,1,0,0,1,0,0,0,1,0,0,1
6971,1,0,0,0,0,0,0,0,0,0,0
6972,0,0,0,0,0,0,0,0,0,0,1
6973,0,0,0,1,0,0,0,0,0,0,0
6974,0,0,0,0,0,0,0,0,0,0,1
6975,1,0,0,1,1,0,0,1,0,0,0
6976,1,1,0,0,0,0,0,0,0,0,0
6977,1,0,0,0,0,0,0,0,0,0,0
6980,0,0,0,0,0,0,0,0,0,0,0
6981,1,1,0,1,1,0,1,1,0,0,0
6982,1,0,0,0,0,0,0,0,0,0,0
6983,0,0,0,0,0,0,0,0,0,0,0
6984,1,0,0,1,0,0,0,0,1,0,0
6985,1,1,0,0,1,0,0,0,0,0,0
6986,1,0,0,0,1,0,1,1,0,1,0
6987,1,1,0,0,0,0,0,0,0,0,0
6989,1,0,1,0,1,0,0,1,0,0,1
6990,1,0,1,0,0,0,0,0,0,0,0
6991,1,0,1,0,1,0,0,0,0,0,0
6993,0,0,0,0,0,0,0,0,0,0,0
6995,0,0,0,0,0,0,0,0,0,1,0
6997,1,1,1,0,1,0,0,0,0,0,0
6998,0,0,0,0,0,0,1,1,0,0,0
6999,0,0,0,0,1,0,1,0,0,0,0
7002,0,0,0,0,0,0,0,0,0,1,0
7003,0,1,0,0,1,0,1,1,0,0,0
7006,0,0,1,0,0,0,0,1,0,0,0
7009,1,0,0,0,0,0,0,0,0,0,0
7010,0,0,0,1,0,0,0,0,0,0,0
7013,0,0,1,0,1,0,1,0,0,0,0
7014,0,1,0,0,0,0,0,0,0,0,0
7015,0,0,1,0,0,0,0,0,0,1,1
7017,0,0,1,0,0,0,0,0,0,0,0
7021,0,0,1,0,0,0,1,1,0,0,0
7023,1,1,1,0,1,0,0,1,0,1,1
7024,1,1,0,0,1,0,0,0,1,1,0
7030,1,0,0,0,0,0,0,0,0,0,0
7031,0,0,0,0,0,0,0,1,0,0,0
7032,1,0,0,0,0,0,0,0,0,0,0
7033,1,0,1,0,0,0,0,0,1,1,1
7034,0,0,0,0,0,0,1,0,0,0,0
7035,0,1,1,1,0,0,0,0,0,0,0
7038,0,0,1,0,0,0,0,0,0,0,0
7039,0,0,0,0,1,0,0,0,0,0,0
7040,0,0,0,0,0,0,0,0,0,1,1
7041,1,0,0,0,0,0,0,0,0,0,0
7042,1,0,1,1,1,0,1,0,0,0,0
7043,1,1,1,0,0,0,1,1,0,0,1
7046,1,1,1,1,1,1,1,0,0,0,0
7047,0,0,1,0,0,0,0,0,0,0,0
7048,0,1,1,1,0,0,0,0,0,0,1
7049,0,0,0,0,1,0,0,0,0,0,0
7050,1,0,1,0,0,0,0,1,0,0,0
7051,0,0,0,0,0,0,0,0,0,0,0
7052,1,1,1,1,1,0,0,0,0,0,0
7053,0,0,0,0,0,0,0,0,0,0,0
7054,0,0,0,0,0,0,0,0,0,1,0
7056,0,0,0,0,1,0,0,0,0,0,0
7057,0,0,0,0,1,0,0,0,0,0,0
7058,0,0,0,0,0,0,0,0,0,1,1
7059,0,0,0,0,0,1,1,1,0,0,0
7060,1,1,1,0,0,0,0,0,0,0,0
7061,0,0,0,0,1,0,0,0,1,0,0
7062,1,0,0,0,0,0,0,0,0,0,0
7063,0,1,1,0,0,0,0,0,0,0,0
7064,0,0,1,0,0,0,0,0,0,0,0
7066,0,0,0,0,0,0,0,1,0,0,0
7067,1,1,0,1,1,1,1,0,0,0,0
7069,1,0,1,1,0,0,0,0,0,0,0
7070,1,0,1,0,0,0,1,0,0,0,0
7071,1,0,1,0,0,0,0,1,0,0,0
7072,0,0,0,0,0,0,0,0,0,0,0
7073,0,0,0,0,1,0,0,0,0,0,0
7074,0,1,1,0,1,0,0,0,0,0,1
7075,0,0,1,0,1,0,0,1,0,0,1
7076,1,0,0,1,1,0,0,0,0,0,0
7080,0,1,0,0,0,0,0,0,0,0,0
7082,0,0,0,0,1,0,0,0,0,0,0
7083,0,0,1,0,0,0,0,0,0,0,0
7086,1,0,0,0,0,1,0,0,0,0,0
7088,0,0,0,0,1,0,1,1,0,0,0
7089,0,0,1,0,1,0,1,0,0,1,1
7090,0,1,1,0,0,0,1,0,0,0,1
7091,1,0,0,0,0,0,0,0,0,0,0
7092,0,0,1,0,0,0,0,0,0,0,1
7093,0,1,0,0,1,0,0,1,0,0,0
7096,1,0,0,0,0,0,0,0,0,0,0
7097,0,0,0,0,0,0,1,1,0,1,1
7099,0,0,0,1,1,0,1,0,0,0,0
7100,1,1,0,1,1,1,1,0,0,0,0
7103,1,1,0,0,1,0,1,0,0,0,0
7104,0,0,1,0,0,0,0,0,0,1,1
7105,1,0,1,0,1,0,0,0,0,1,1
7106,1,0,1,0,1,0,1,0,1,0,0
7107,0,0,0,0,0,0,1,0,0,0,0
7109,1,0,0,0,0,0,0,0,0,0,0
7110,0,0,0,0,0,0,0,0,0,1,0
7111,0,1,0,0,0,0,0,0,0,0,0
7113,0,0,0,0,0,0,0,1,0,0,1
7114,0,1,1,0,0,0,0,0,0,0,0
7115,1,0,0,0,1,0,0,0,1,1,0
7116,0,0,0,0,1,0,0,0,0,0,0
7118,1,0,0,0,1,0,1,0,0,1,0
7119,1,1,0,0,0,0,1,0,0,0,0
7121,0,0,0,0,1,0,0,0,0,0,0
7123,0,0,0,0,0,0,0,0,0,1,0
7124,0,0,0,0,1,0,0,0,0,0,0
7125,1,0,0,0,0,0,0,0,0,0,0
7126,0,1,0,0,0,0,0,0,0,0,0
7127,1,0,1,0,1,1,1,1,0,0,1
7128,0,0,0,0,0,0,0,1,0,0,1
7129,0,0,0,0,0,0,1,0,0,1,1
7130,0,0,0,0,0,0,0,0,0,0,1
7132,1,1,1,0,1,0,1,1,0,0,0
7133,0,0,1,0,0,0,0,1,0,0,0
7134,0,0,1,0,0,0,0,0,0,1,0
7135,1,1,0,1,1,0,0,0,0,0,1
7136,0,0,1,0,0,0,0,0,0,0,0
7139,1,1,0,0,1,1,0,1,0,1,1
7140,0,0,0,0,0,0,0,1,0,1,1
7141,0,0,1,0,0,1,1,1,0,0,0
7144,1,0,0,1,0,0,0,0,1,1,1
7146,1,0,0,0,1,0,0,0,0,0,0
7147,0,0,0,0,0,0,0,0,0,1,0
7148,0,0,0,0,0,1,1,0,1,1,1
7149,0,0,1,0,0,0,0,1,0,0,0
7152,0,0,0,0,0,0,0,0,1,0,0
7153,0,0,0,0,0,0,0,0,0,0,1
7154,0,0,0,0,0,0,0,1,0,0,0
7155,1,1,0,1,1,0,0,0,0,0,0
7157,1,0,0,0,1,1,0,0,0,0,0
7158,1,0,0,1,1,0,0,0,0,1,0
7159,0,0,1,0,0,0,0,0,0,0,0
7160,0,0,0,0,1,0,1,0,0,0,0
7161,0,0,0,0,0,0,0,0,0,1,1
7162,0,0,0,0,1,1,1,1,0,0,0
7164,1,0,0,0,1,0,0,0,0,0,1
7165,1,0,0,0,0,0,0,0,0,0,1
7166,0,0,1,0,0,1,1,1,0,0,0
7168,1,0,0,0,0,0,0,0,1,0,0
7169,0,0,0,0,0,0,0,0,0,0,1
7170,0,0,0,0,0,0,0,0,1,0,0
7171,1,0,0,0,0,0,0,0,0,0,0
7173,0,0,0,0,0,0,0,0,0,0,0
7174,1,0,0,0,1,0,1,1,0,0,0
7175,1,0,0,0,0,0,0,0,0,0,0
7176,0,1,1,0,0,0,1,1,0,0,1
7177,0,0,0,0,1,0,1,1,0,0,0
7178,0,0,1,0,0,0,0,1,0,0,1
7179,1,1,1,0,0,0,0,0,0,1,0
7182,0,0,1,0,0,0,0,0,0,0,0
7183,0,0,0,0,0,0,0,0,0,0,1
7184,0,0,1,0,0,0,0,0,0,0,0
7185,0,1,0,0,1,0,1,1,1,0,0
7187,0,0,0,0,1,0,0,0,0,0,0
7189,1,1,0,0,1,0,0,0,0,0,0
7191,1,0,0,0,1,1,1,0,0,0,0
7193,0,0,0,0,0,0,0,0,0,1,0
7194,1,0,0,0,0,0,1,0,1,0,0
7195,0,0,0,0,1,1,1,0,0,0,0
7196,1,0,0,0,0,1,0,0,0,0,0
7197,1,1,0,0,1,1,1,1,0,0,0
7198,0,0,1,1,1,0,0,0,0,0,0
7199,1,0,1,0,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0,0,0,0,1
7202,1,1,0,0,0,1,1,0,0,0,0
7205,0,0,0,0,0,0,0,0,0,0,0
7206,1,1,1,0,0,1,1,1,1,1,1
7207,0,0,0,0,1,1,1,0,0,0,0
7208,0,0,0,0,0,0,0,1,0,1,1
7209,1,1,0,0,1,0,0,0,0,1,0
7210,0,0,0,0,0,1,0,1,0,0,0
7212,0,0,0,0,0,1,0,0,0,0,0
7213,1,0,0,0,0,0,0,0,0,0,0
7215,1,0,0,0,0,0,0,0,0,0,0
7216,0,0,0,0,0,0,1,0,0,0,0
7221,1,0,1,0,0,0,0,0,0,0,0
7222,0,0,0,0,0,1,1,0,0,0,0
7224,1,0,1,0,1,0,0,0,0,1,0
7226,1,0,1,1,0,0,0,0,0,0,0
7227,0,0,0,0,0,0,0,1,0,0,0
7228,0,0,0,0,0,0,1,1,0,0,0
7230,0,0,0,0,0,0,0,1,0,0,0
7232,0,0,0,0,1,0,0,0,0,0,0
7234,0,0,0,0,0,1,1,1,0,0,0
7235,1,0,0,0,1,1,1,1,1,1,0
7236,0,0,0,1,0,0,1,0,0,1,0
7237,0,0,1,0,0,0,0,0,0,0,0
7239,0,0,0,0,1,0,0,0,0,1,0
7240,0,0,1,0,0,0,0,0,0,1,1
7241,0,0,1,0,1,0,1,1,0,0,0
7243,0,0,0,0,0,0,0,1,0,0,0
7244,0,0,0,0,0,1,0,0,0,0,0
7245,1,0,0,0,0,0,0,0,0,0,1
7249,1,0,0,0,1,0,0,0,0,0,1
7252,0,0,0,0,0,0,0,0,0,1,0
7253,0,0,0,0,1,0,0,0,0,0,0
7255,0,0,0,0,0,1,0,0,0,0,0
7256,1,1,1,1,1,0,0,0,0,1,1
7258,0,1,0,0,0,0,0,1,0,0,1
7259,1,1,1,0,1,0,0,0,0,0,0
7261,0,0,1,0,1,0,0,0,0,0,0
7262,1,0,0,0,0,0,1,0,0,0,0
7263,1,1,0,0,0,0,0,0,0,1,0
7264,0,0,1,0,0,0,0,0,0,0,0
7265,1,0,0,0,0,0,0,0,0,0,0
7267,0,0,0,0,0,0,1,1,0,0,0
7269,0,0,0,0,1,0,1,0,0,0,0
7271,0,0,0,0,0,0,1,1,0,0,0
7272,0,0,0,0,0,0,0,0,0,0,0
7273,1,0,1,0,0,0,0,0,0,0,0
7276,1,1,0,0,1,0,1,0,0,0,0
7277,0,1,1,0,0,0,0,0,0,0,0
7281,0,0,0,0,0,1,0,0,0,0,0
7282,1,0,0,0,0,0,0,0,0,1,1
7283,0,0,1,0,0,0,0,0,0,0,0
7284,1,0,0,0,0,0,0,0,0,0,0
7285,0,0,0,0,0,0,0,1,0,0,0
7286,0,0,0,0,0,0,0,1,0,0,0
7287,1,0,0,0,0,0,0,0,1,0,1
7288,0,0,0,0,0,1,0,1,0,0,0
7290,1,1,0,0,0,0,0,0,0,0,0
7292,0,0,1,0,0,0,1,0,0,0,0
7293,1,0,0,0,1,0,0,0,0,1,0
7295,1,1,1,0,0,0,0,0,0,0,0
7296,1,0,1,0,0,0,1,0,0,1,0
7297,0,0,1,0,1,0,0,0,0,0,0
7298,1,0,0,0,0,0,1,0,0,0,1
7299,0,0,0,0,1,1,1,1,0,1,1
7300,1,1,1,1,0,0,0,0,0,0,0
7301,0,0,0,0,0,0,0,0,0,0,0
7302,0,0,0,0,0,0,0,0,0,1,0
7303,1,1,1,0,1,0,0,0,0,0,0
7304,0,0,0,0,0,0,0,1,0,0,0
7305,0,0,1,0,0,0,0,0,0,0,0
7306,0,0,1,0,0,0,0,0,0,0,0
7307,0,0,0,0,0,0,0,0,0,0,0
7308,0,0,0,0,0,0,1,1,0,0,1
7310,1,1,0,0,1,0,1,0,0,0,0
7313,1,0,0,0,1,0,0,0,0,0,0
7314,0,0,0,0,0,0,0,0,1,0,0
7315,0,0,0,1,1,0,1,0,0,0,0
7316,1,0,0,0,0,0,1,0,0,0,0
7317,1,1,1,0,1,0,0,0,0,1,0
7319,0,0,0,0,0,0,0,0,0,0,1
7321,0,1,0,0,0,0,0,0,0,1,1
7322,0,0,0,0,0,0,0,0,0,0,1
7323,1,0,1,0,1,1,1,1,0,0,0
7324,0,0,0,0,0,0,1,0,0,1,1
7325,0,0,0,0,1,1,1,1,0,0,0
7326,0,0,1,0,0,0,1,0,0,0,0
7328,1,0,0,0,0,1,1,0,0,0,0
7330,0,0,0,0,0,0,0,0,0,1,0
7331,1,0,1,0,1,0,0,0,0,0,0
7333,1,1,0,1,1,0,0,0,0,0,1
7337,1,0,1,0,1,0,1,0,0,0,0
7338,0,0,1,0,0,0,0,0,0,0,0
7340,0,0,0,0,1,0,0,0,0,1,1
7341,1,1,1,0,0,0,0,0,0,0,0
7343,0,0,0,0,0,0,0,0,0,1,1
7344,0,0,0,0,0,0,0,0,0,1,1
7345,0,0,0,0,0,0,1,1,0,0,0
7347,0,0,0,0,0,0,0,0,0,0,1
7348,0,0,0,0,0,0,0,0,0,0,0
7350,0,0,0,0,0,0,1,0,0,0,0
7352,0,0,0,1,0,0,0,0,1,0,0
7353,0,1,0,0,1,0,0,1,0,1,0
7355,1,0,0,0,0,0,0,0,0,0,0
7358,1,1,0,0,1,1,1,1,0,0,0
7361,0,0,1,0,0,0,0,0,0,0,0
7362,0,0,0,0,1,0,0,1,0,0,0
7363,0,0,0,0,0,0,1,0,0,0,0
7364,0,0,0,0,0,0,0,0,0,0,1
7366,0,0,0,0,0,0,0,1,0,0,0
7368,0,0,0,0,0,0,0,0,0,0,0
7369,0,0,0,0,0,0,0,0,0,0,1
7370,0,0,0,1,0,0,0,0,0,0,0
7371,1,0,0,0,1,1,1,1,1,0,0
7372,0,0,1,0,0,0,1,1,0,0,0
